Project ID,T type sub-class,Avg ISI,F I curve slope
1HEYEW7GMUKWIQW37BO,Sst interneuron,25.39,0.05
1HEYEW7GMUKWIQW37BO,Sst interneuron,31.13,0.465293872
1HEYEW7GMUKWIQW37BO,Sst interneuron,52.40333333,0.385000001
1HEYEW7GMUKWIQW37BO,Sst interneuron,34.415,0.094999998
1HEYEW7GMUKWIQW37BO,Vip interneuron,256.68,0.024999998
1HEYEW7GMUKWIQW37BO,Vip interneuron,70.79833333,0.29117646
1HEYEW7GMUKWIQW37BO,Sst interneuron,52.27888889,0.417449653
1HEYEW7GMUKWIQW37BO,Sst interneuron,47.40526316,0.46
1HEYEW7GMUKWIQW37BO,Sst interneuron,46.93,0.065
1HEYEW7GMUKWIQW37BO,Sst interneuron,119.1314286,0.30315534
1HEYEW7GMUKWIQW37BO,Sst interneuron,40.9626087,0.535294141
1HEYEW7GMUKWIQW37BO,Sst interneuron,49.045,0.250000013
1HEYEW7GMUKWIQW37BO,Sst interneuron,54.28,0.200000038
1HEYEW7GMUKWIQW37BO,Vip interneuron,15.66,0.021118614
1HEYEW7GMUKWIQW37BO,Vip interneuron,24.82,0.065789474
1HEYEW7GMUKWIQW37BO,Vip interneuron,93.664,0.219196429
1HEYEW7GMUKWIQW37BO,Vip interneuron,27.70971429,0.70499998
1HEYEW7GMUKWIQW37BO,Sst interneuron,42.18454545,0.505
1HEYEW7GMUKWIQW37BO,Vip interneuron,28.06,0.302857143
1HEYEW7GMUKWIQW37BO,Vip interneuron,38.7226087,0.346976739
1HEYEW7GMUKWIQW37BO,Vip interneuron,26.32666667,0.037662336
1HEYEW7GMUKWIQW37BO,Sst interneuron,46.878,0.339285714
1HEYEW7GMUKWIQW37BO,Sst interneuron,27.96,0.018571431
1HEYEW7GMUKWIQW37BO,Sst interneuron,33.57,0.115000006
1HEYEW7GMUKWIQW37BO,Sst interneuron,45.11428571,0.450000013
1HEYEW7GMUKWIQW37BO,Sst interneuron,58.375,0.330468745
1HEYEW7GMUKWIQW37BO,Vip interneuron,65.04933333,0.145010182
1HEYEW7GMUKWIQW37BO,Sst interneuron,35.435,0.116927894
